N,P,K,temperature,humidity,ph,rainfall,soil_type,Crop
14,87,5,39.49,56.01,8.86,31.54,sandy,pulses
18,44,54,32.32,71.59,7.62,183.51,clay,sugarcane
126,39,55,11.89,89.57,4.04,163.28,clay,groundnut
45,46,193,17.11,77.68,6.76,222.31,sandy,millet
94,54,129,27.29,21.76,8.78,231.33,loamy,millet
129,46,28,27.3,32.55,5.03,158.88,clay,wheat
23,75,69,19.41,38.67,7.78,92.86,sandy,jowar
91,12,142,28.26,59.03,5.01,92.98,loamy,wheat
70,80,42,15.82,22.52,6.3,155.27,loamy,rice
123,6,106,22.04,22.86,8.99,45.32,loamy,bajra
20,21,153,36.32,84.94,6.4,37.74,sandy,maize
22,52,84,29.04,22.33,4.64,118.12,loamy,sugarcane
49,37,59,21.81,38.57,7.48,173.51,sandy,cotton
51,47,92,22.42,58.15,6.33,39.25,sandy,bajra
73,114,38,12.99,73.04,8.72,276.04,loamy,pulses
49,34,58,26.39,64.68,6.22,220.2,clay,groundnut
23,45,13,12.46,99.57,7.2,169.43,loamy,bajra
66,44,20,26.83,78.21,6.85,289.83,loamy,gram
116,25,110,20.54,99.85,4.73,60.07,loamy,barley
76,91,16,10.82,40.88,6.3,211.13,loamy,gram
44,51,68,13.92,98.14,8.7,100.74,sandy,gram
52,115,122,20.62,48.28,4.21,252.09,loamy,cotton
77,96,182,15.87,46.41,4.87,26.49,sandy,pulses
4,10,113,37.56,27.12,4.65,144.33,loamy,groundnut
85,34,26,13.43,54.77,7.54,146.43,loamy,rice
127,81,65,17.06,82.34,4.25,197.96,loamy,barley
16,114,142,14.74,65.42,6.47,82.91,clay,wheat
36,30,181,18.42,83.59,5.24,98.48,clay,gram
93,44,65,18.61,93.46,8.09,132.12,loamy,oilseeds
138,37,95,28.31,70.38,5.55,34.19,loamy,groundnut
10,87,37,23.56,50.9,8.69,166.44,clay,pulses
2,27,109,21.45,64.59,5.08,136.97,loamy,bajra
75,60,89,13,62.79,7.99,188.65,sandy,jowar
124,27,126,14.37,81.97,8.99,88.94,sandy,bajra
67,100,81,20.18,26.36,7.46,272.81,clay,rice
74,5,164,23.45,55.39,4.06,294.78,loamy,millet
4,21,112,39.15,24.77,8.59,65.81,clay,oilseeds
99,27,48,21.92,82.11,7.39,280.97,loamy,wheat
132,113,123,39.15,48.9,8.68,212.22,loamy,soybean
134,36,137,36.63,60.64,8.52,221.1,sandy,cotton
119,57,38,33.9,69.9,5.22,246.74,loamy,barley
111,87,176,38.84,36.97,4.26,31.72,clay,groundnut
64,104,188,31.36,57.94,7.88,62.75,sandy,oilseeds
117,95,142,17.61,40.36,8.56,274.45,sandy,oilseeds
68,97,158,15.65,38.94,8.11,242.98,loamy,oilseeds
8,13,106,39.63,31.73,5.47,230.57,sandy,bajra
110,107,70,22.2,75.99,7.28,250.31,loamy,maize
109,93,42,28.33,88.19,4.12,61.27,clay,bajra
145,48,46,13.44,30.93,6.13,271.72,loamy,gram
111,107,175,12.72,62.82,8.78,170.93,sandy,bajra
120,70,10,38.67,50.49,7.63,239.04,clay,pulses
103,83,162,11.36,60.05,4.14,229.57,clay,soybean
48,27,79,13.07,78.64,5.43,45.24,loamy,millet
49,77,129,16.58,64.25,5.63,105.35,clay,oilseeds
14,76,82,20.48,86.81,5.34,133.92,clay,barley
95,108,102,16.3,92.07,6.06,157.83,loamy,barley
107,15,191,12.8,77.52,4.23,108.36,sandy,rice
118,96,117,22.36,52.46,6.74,163.19,clay,maize
142,21,182,18.86,25.91,7.15,76.63,loamy,bajra
102,99,125,21.01,67.17,4.91,63.07,clay,soybean
41,59,113,29.41,36.88,8.08,283.48,loamy,soybean
135,7,19,32.55,82.82,6.16,169.18,loamy,maize
48,75,66,34.6,38.62,8.43,156.8,loamy,cotton
69,75,27,27.35,30.19,6.77,28.12,sandy,cotton
131,90,117,17.76,69.54,7.76,211.83,clay,sugarcane
25,7,163,29.37,62.57,7.38,167.08,sandy,jowar
19,65,7,18.34,42.15,6.47,205.95,loamy,maize
60,44,91,10.38,94.05,5.19,205.48,clay,bajra
94,62,21,21.73,78.5,8.95,30.18,clay,groundnut
9,115,117,18.82,20.01,5.21,184.54,sandy,jowar
116,42,7,37.02,43.38,6.45,105.08,loamy,jowar
129,115,136,22.03,60.62,5.29,214.78,clay,sugarcane
65,12,87,32.48,99.8,5.54,89.44,loamy,rice
110,71,32,34.03,77.91,5.28,89,clay,gram
81,40,74,10.19,79.43,6.19,203.23,sandy,maize
130,108,98,30.04,68.1,7.22,295.84,sandy,millet
70,59,189,31.77,79.35,5.01,27.15,loamy,millet
13,46,65,31.78,26.83,7.71,217.47,loamy,sugarcane
108,117,172,25.28,83.25,5.96,28.42,sandy,millet
146,20,110,31.35,48.46,7.28,44.39,sandy,bajra
60,118,78,34.96,95.88,6.67,269.42,loamy,groundnut
21,74,63,19.85,39.21,7.08,221.08,clay,wheat
35,113,191,19.19,42.61,8.87,254.55,sandy,maize
41,86,80,27.74,92.7,4.04,293.81,loamy,wheat
18,94,29,12.15,97.41,8.25,164.57,sandy,millet
58,49,119,26.48,55.26,4.34,228.48,clay,millet
106,85,57,39.72,64.26,4.31,291.78,loamy,rice
73,41,58,22.31,44.45,4.5,252.31,clay,bajra
41,19,189,20.34,59.75,8.69,128.02,loamy,wheat
132,15,172,17.99,50.97,7.66,272.65,loamy,wheat
110,108,35,27.7,67.31,8.7,95.24,loamy,groundnut
4,38,28,37.15,64.74,5.71,30.24,clay,jowar
127,51,143,36.97,79.62,4.24,280.93,loamy,pulses
144,35,41,32.7,21.26,6.1,127.6,sandy,millet
14,103,148,21.2,88.31,6.85,206.07,loamy,oilseeds
46,97,86,35.46,76.79,7.74,219.41,sandy,oilseeds
80,51,74,15.67,90.3,4.64,25.94,loamy,soybean
148,53,96,25.14,72.38,8.44,254.76,sandy,bajra
127,107,26,14.69,67.66,6.04,204.7,sandy,soybean
97,7,154,13.89,33.14,7.05,68.89,sandy,pulses
56,81,162,28.71,22.81,7.93,175.39,loamy,groundnut
73,55,31,20.09,75.79,5.41,76.21,sandy,soybean
133,109,152,29.43,39.67,7.77,278.56,clay,maize
96,22,121,28.64,96.36,7.19,117.71,clay,sugarcane
110,12,14,28.67,59.91,4.16,139.35,loamy,bajra
62,18,86,15.29,52.76,7.25,103.92,clay,jowar
149,15,159,13.63,76.44,6.96,46.91,clay,soybean
34,101,183,29.81,57.83,4.43,198.31,clay,oilseeds
50,57,125,10.72,24.44,7.74,34.68,sandy,jowar
83,74,60,29.69,47,7.6,116.47,clay,jowar
14,12,94,13.26,90.53,7.72,115.06,loamy,sugarcane
101,82,60,24.36,79.07,5.66,112.04,sandy,bajra
87,35,45,28.31,57.46,6.62,72.55,loamy,bajra
106,82,34,35.19,40.35,6.79,91.55,sandy,cotton
145,5,58,32.24,23.8,7.64,227.42,sandy,cotton
3,91,16,36.15,42.12,6.82,109.84,loamy,soybean
146,18,80,23.87,57.54,6.71,230.04,sandy,soybean
128,89,37,25.8,93.89,5.45,156.78,loamy,soybean
83,81,198,13.28,45.88,4.66,59.08,clay,pulses
29,99,69,15.69,92.61,4.36,91.98,loamy,millet
89,20,178,22.17,57.78,7.96,224.69,loamy,barley
75,93,146,29.09,22.68,7.15,211.32,loamy,bajra
40,52,40,20.11,22.9,6.06,195.54,clay,millet
90,22,43,27.98,81.01,4.07,194.76,clay,barley
65,85,121,14.71,57.19,5.45,271.81,sandy,millet
118,34,14,31.74,33.79,8.36,46.44,loamy,soybean
74,50,40,23.14,36.19,5.53,262.12,sandy,bajra
139,29,199,19.08,39.87,6.33,207.06,sandy,millet
126,66,102,19.8,47.97,5.14,57.25,loamy,wheat
2,109,9,28.75,89.92,8.21,121.21,clay,oilseeds
71,73,164,16.65,33.34,5.5,226.23,loamy,soybean
59,60,155,25.38,71.68,4.76,54.83,loamy,barley
66,112,126,26.73,74.79,5.74,191.24,loamy,pulses
6,75,119,13.45,76.49,5.88,142.86,clay,rice
86,99,32,21.27,31.61,7.05,284.61,loamy,jowar
114,56,45,11.6,38.34,6.89,203.38,sandy,sugarcane
114,41,136,11.65,77.36,7.05,214.89,loamy,maize
83,14,104,15.1,41.37,4.93,218.63,loamy,jowar
84,105,38,23.46,65.01,8.57,246.38,clay,groundnut
95,44,103,20.13,95.7,6.41,196.1,loamy,gram
94,44,42,38.29,40.71,5.1,74.27,sandy,cotton
76,21,102,35.28,78.57,5.54,203.09,clay,cotton
116,98,135,35.6,63.37,8.92,254.36,clay,rice
119,22,8,16.41,32.26,7.04,216.46,sandy,jowar
23,78,119,16.97,60.68,6.77,259.6,sandy,pulses
46,96,31,14.21,28.16,4.12,82.33,clay,pulses
46,50,167,17.89,94.05,4.23,139.22,clay,groundnut
10,100,53,21.45,73.83,8.53,29.18,loamy,maize
105,79,168,36.8,25.16,6.59,207.52,loamy,soybean
136,94,185,15.46,55.58,4.01,161.1,loamy,oilseeds
108,33,193,38.44,29.14,5.32,91.95,clay,rice
57,38,87,39.65,92.58,8.27,186.57,sandy,groundnut
2,45,87,39.81,93.61,7.07,131.67,clay,rice
31,111,172,30.08,84.45,8.93,191.2,sandy,bajra
133,104,54,21.88,64.2,4.24,290.54,sandy,soybean
91,18,154,31.91,74.82,5.19,187.63,sandy,bajra
119,62,58,34.66,92.31,4.1,222.11,sandy,gram
53,68,38,24.09,63.53,6.39,62.49,sandy,millet
21,94,105,15.02,72.39,6.24,179.7,clay,oilseeds
50,55,101,31.36,93.84,4.8,63.48,clay,rice
109,112,163,23.58,54.85,6.95,92.78,clay,cotton
35,46,64,10.32,59.28,8.78,70.3,clay,millet
76,16,71,37.39,68.8,5.84,274.99,sandy,sugarcane
112,116,49,27.8,50.29,6.68,233.56,clay,soybean
1,29,84,36.44,92.88,5.27,60.45,sandy,barley
85,58,30,10.79,78.95,5.68,140.04,loamy,sugarcane
108,106,145,13.78,63.89,5.54,50.09,clay,oilseeds
33,48,38,22.16,79.78,8.03,176.52,clay,jowar
124,89,169,39.63,43.11,8.39,207.37,loamy,barley
1,86,77,22.24,90.15,6.57,106.09,loamy,millet
116,97,17,20.29,92.46,8.46,233.15,sandy,groundnut
66,45,95,35.75,92.44,8.53,263.65,loamy,sugarcane
100,8,114,10.89,50.05,7.89,87.49,clay,soybean
147,54,127,27.68,76.16,4.24,130.45,loamy,rice
4,91,58,14.47,76.61,5.3,177.96,loamy,pulses
84,119,138,26.95,75.02,7.65,210.45,sandy,wheat
76,32,131,35.37,77.32,7.43,254.88,loamy,maize
41,31,124,39.59,80.79,5.23,139.78,sandy,wheat
29,95,128,30.47,20.88,5.06,198.22,clay,sugarcane
4,116,39,31.35,86.4,8.56,269.39,clay,rice
11,84,13,39.29,29.39,7.53,225.61,sandy,barley
27,93,107,31.28,76.94,6.5,215.29,loamy,oilseeds
115,39,161,33.32,40.95,8.87,245.46,sandy,bajra
45,118,118,21.62,25.54,5.99,111.03,loamy,wheat
99,46,193,10.66,91.87,6.8,56.3,sandy,millet
105,13,57,10.22,53.8,7.88,246.01,sandy,millet
126,9,59,39.93,27.18,4.2,169.01,loamy,soybean
138,77,134,30.64,48.26,5.76,248.76,loamy,wheat
97,58,113,21.78,38.56,4.37,245.4,clay,bajra
38,27,193,20.44,47.88,4.63,230.78,loamy,sugarcane
53,48,123,20.81,91.8,5.45,185.52,clay,bajra
61,39,170,19.34,71.01,6.74,202.72,sandy,sugarcane
55,79,118,28.29,59.74,6.33,82.72,clay,barley
91,68,25,11.31,46.05,5.2,293.5,loamy,oilseeds
41,15,96,27.68,94.41,8.62,297.46,clay,maize
127,118,198,38.14,45.97,4.4,223.88,sandy,oilseeds
49,104,184,10.18,66.03,8.83,298.7,clay,gram
42,94,167,14.54,61.03,5.3,122.85,loamy,soybean
116,66,11,34.33,94.68,8.86,187.38,clay,barley
62,62,162,33.29,86.52,6.68,135.42,sandy,wheat
15,118,86,22.98,87.57,7.21,199.19,sandy,sugarcane
136,57,72,15.54,82.95,7.88,145.7,clay,pulses
42,13,116,30.75,66.54,4.38,24.05,clay,barley
41,23,91,21.51,38.19,8.05,62.79,clay,gram
42,89,54,38.28,65.06,7.57,33.71,sandy,groundnut
81,15,161,34.21,54.52,6.78,125.83,loamy,gram
116,64,59,31.56,98.32,4.99,271.19,loamy,oilseeds
27,6,47,23.98,49,5.39,244.02,loamy,soybean
27,92,96,31.6,38.15,7.92,181.79,loamy,gram
118,31,158,38.59,33.91,6.02,199.56,clay,wheat
71,41,8,10.13,45.61,7.65,139.4,clay,soybean
127,104,151,18.1,84.4,5.42,60.42,clay,jowar
39,81,64,16.36,27.01,4.36,191.09,loamy,maize
145,97,88,32.34,56.85,8.12,267.22,clay,sugarcane
7,116,75,21.45,69.32,5.46,139.18,loamy,oilseeds
0,28,186,17.36,30.11,5.86,111.21,loamy,groundnut
44,12,179,25.29,84.57,5.8,142.79,clay,gram
10,41,62,20.62,46.14,5.52,204.49,loamy,jowar
48,60,17,33.45,26.21,8.72,92.57,clay,groundnut
129,56,128,24.75,96.66,7.59,287.93,loamy,sugarcane
91,76,104,19.98,32.82,5.24,64.4,sandy,pulses
13,72,128,19.61,36.4,6.31,254.03,loamy,soybean
53,38,27,14.24,21.75,7.03,28.74,clay,groundnut
7,22,17,25.77,72.66,4.53,31.19,sandy,jowar
42,12,30,10.28,53.81,7.48,274.93,clay,rice
62,13,13,26.54,78.71,4.9,278.26,loamy,barley
34,65,105,24.47,39.98,4.04,275.98,clay,maize
9,41,103,19.23,58.79,4.7,193.89,sandy,millet
87,6,157,32.25,75.8,7.76,55.09,clay,groundnut
20,117,135,10.41,53.16,5.6,245.91,clay,cotton
139,26,161,37.31,35.6,8.14,194.53,sandy,cotton
76,40,35,20.72,46.37,5.91,26.08,loamy,cotton
130,84,69,32.15,35.91,4.1,224.91,clay,rice
132,71,169,36.93,62.47,4.98,142.47,clay,barley
20,27,19,11.57,36.96,5.39,279.69,sandy,gram
3,69,121,29.55,64.86,7.79,113.2,loamy,sugarcane
131,33,83,12.29,71.03,7.33,297.12,sandy,groundnut
114,75,13,12.32,31.69,6.11,203.97,sandy,groundnut
143,37,121,23.45,72.71,7.7,124.32,clay,jowar
27,113,191,21.36,84.76,8.01,237.83,loamy,sugarcane
41,56,182,14.28,39.45,6.18,140.75,clay,gram
80,115,53,17.22,71.39,7.95,79.82,sandy,rice
78,119,190,24.21,74.04,4.16,228,sandy,jowar
35,98,152,32.28,20.2,4.73,86.96,sandy,pulses
101,41,34,25.72,57.14,4.33,197.59,clay,cotton
93,49,7,39.97,85.01,4.96,109.59,clay,wheat
122,15,9,14.43,85.74,4.01,113.63,clay,oilseeds
16,109,104,22.93,60.21,7.11,212.82,clay,sugarcane
124,102,172,12.57,40.26,7.04,46.43,sandy,cotton
141,48,70,29.05,55.8,6.97,261.45,sandy,rice
38,25,188,38.46,49.1,5.3,133.59,loamy,barley
132,55,199,38.41,87.29,5.58,41.32,loamy,groundnut
5,93,153,20.34,37.55,5.89,148.67,sandy,oilseeds
101,37,17,37.86,70.29,5.61,22.06,sandy,soybean
79,105,43,23.43,31.16,6.71,217.49,clay,wheat
97,119,131,11.98,51.56,6.7,104.54,loamy,soybean
24,36,77,27.19,61.08,6.32,27.88,loamy,pulses
129,24,67,32,86.75,6.34,107.29,clay,maize
52,63,116,32.53,33.97,8.94,231.32,sandy,barley
51,38,60,25.17,85.88,6.76,28.47,loamy,gram
90,23,30,27.84,81.08,6.71,297.18,sandy,wheat
32,86,113,23.87,59.39,8.8,182.6,clay,cotton
53,34,40,15.1,53.46,4.46,63.6,loamy,rice
24,26,168,28.07,83.05,5.06,149.96,clay,millet
27,41,69,18.39,33.61,4.34,215.94,loamy,maize
98,57,150,28.35,20.47,5.81,283.96,sandy,cotton
12,101,50,13.64,51.39,4.71,288.27,clay,rice
87,24,120,39.71,32.08,4.81,64.76,loamy,wheat
78,84,121,28.66,66.67,5.76,76.95,sandy,gram
142,61,33,21.78,75.08,7.72,72.88,loamy,wheat
102,27,67,10.59,98.64,5.49,257.92,sandy,jowar
49,61,112,11.27,80.52,7.45,51.39,clay,barley
44,71,133,20.23,94.63,8.69,96.4,loamy,gram
40,62,18,30.5,55.06,8.55,169.4,sandy,cotton
105,97,28,35.24,26.25,6.49,133.76,clay,maize
109,75,101,27.72,80.21,6.44,288.45,clay,soybean
81,5,78,21.95,66.94,6.51,132.99,loamy,oilseeds
15,31,25,39.19,82.98,7.56,253.89,clay,wheat
133,14,129,24.48,71.22,8.42,221.46,clay,oilseeds
132,80,132,21.52,58.65,7.91,277.55,clay,barley
27,74,150,28.22,48.39,7.98,259.98,clay,wheat
64,55,121,36.28,73.64,6.82,145.48,sandy,groundnut
42,100,24,17.83,20.06,5.4,224.16,clay,wheat
20,55,73,34.94,49.57,5.17,296.84,sandy,wheat
57,21,137,22.14,34.42,5.32,208.93,loamy,sugarcane
113,47,16,28.6,58.7,8.78,259.61,clay,bajra
25,94,50,24.2,69.04,4.44,275.18,sandy,wheat
123,108,85,22.42,29.95,7.64,256.58,sandy,maize
66,48,191,25.75,50.9,6.2,34.65,clay,groundnut
97,98,80,34.85,23.89,5.32,188.06,clay,barley
10,74,86,37.7,30.52,5.97,81.62,clay,oilseeds
14,100,9,30.86,99.74,6,151.11,sandy,cotton
105,101,183,16.85,83.26,4.63,99.24,loamy,gram
61,73,137,20.25,93.64,4.06,248.75,sandy,sugarcane
120,64,168,23.09,71.34,4.89,243.52,sandy,rice
105,60,186,38.61,94.01,6.16,31.32,clay,gram
10,33,32,34.82,57.41,4.86,150.25,clay,jowar
75,40,72,15.01,88.22,5.26,67.22,sandy,soybean
80,71,150,10.7,48.31,5.54,56.08,clay,pulses
7,94,14,21.36,50.11,5.46,149.96,sandy,groundnut
23,6,128,17.53,90.86,5.51,224.22,loamy,pulses
88,33,186,17.33,51.35,5.93,278.49,clay,wheat
18,55,112,17.05,42.74,5.29,271.83,clay,groundnut
58,33,97,36.62,29.47,6.2,173.24,sandy,barley
104,116,190,17.82,48.43,8.45,173.02,clay,oilseeds
49,107,42,23.4,39.65,5.24,77.6,clay,cotton
124,21,67,38.73,46.88,8.47,32.59,sandy,oilseeds
102,82,73,23.52,79.92,8.14,194.91,sandy,oilseeds
28,95,61,18.42,78.35,7.01,215.23,clay,pulses
7,87,34,20.11,74.52,8.88,54.08,loamy,gram
116,96,45,15.5,82.73,7.68,256,clay,millet
125,89,139,30.19,20,5.76,167.61,clay,soybean
64,66,190,31.36,35.9,4.03,201.14,sandy,bajra
17,75,172,20.95,72.42,8.45,225.23,clay,cotton
19,9,142,12.91,26.99,8.29,214.17,loamy,soybean
90,94,179,23.53,83.67,6.42,163.22,clay,soybean
143,25,139,26.76,54.55,5.92,151.48,loamy,pulses
80,110,75,33.27,60.1,8.98,165.29,sandy,soybean
138,82,164,20.49,28.67,7.3,191.2,clay,sugarcane
78,45,46,14.44,30.78,8.17,196.78,clay,gram
113,66,92,29.59,71.61,4.23,41.9,loamy,pulses
115,10,51,12.76,93.67,5.17,20.7,clay,wheat
81,75,46,13.24,85.04,4.19,132.71,loamy,cotton
49,33,90,24.13,37.67,6.02,231.51,loamy,pulses
114,95,53,13.08,93.46,8.15,275.05,clay,barley
74,92,19,38.16,66.09,5.1,196.61,clay,maize
135,98,148,23.61,34.68,5.98,110.47,clay,rice
36,88,156,30.64,78.52,7.42,205.52,sandy,groundnut
137,71,20,32.1,55.31,6.65,152.89,sandy,oilseeds
90,65,193,25.16,65.44,8.96,143.85,sandy,cotton
24,105,17,10.08,58.18,7.27,242.35,clay,pulses
10,63,69,11.39,37.81,8.24,213.05,clay,maize
21,36,45,18.89,98.27,5.57,214.85,clay,gram
110,15,142,37.5,39.71,5.72,209.58,loamy,jowar
51,65,67,13.83,53.21,6.93,80.77,sandy,groundnut
86,76,132,38.19,66.82,7.78,288.1,sandy,cotton
64,45,44,26.4,46.16,4.91,89.45,loamy,maize
145,118,176,32.18,20.41,8.74,71.61,clay,barley
36,39,50,19.07,25.64,7.48,31.56,sandy,gram
36,112,146,35.69,30.03,5.74,130.36,clay,cotton
113,21,68,25.08,99,7.33,81.63,loamy,sugarcane
149,73,100,31.71,76.41,8.2,296.62,clay,soybean
85,85,68,28.61,63.57,8.17,48.41,sandy,barley
30,70,37,12.14,49.97,7.25,211.39,clay,wheat
142,28,14,10.71,51.5,8.53,90.84,clay,jowar
114,119,35,12.76,47.1,8.65,62.43,sandy,jowar
141,56,116,34.9,22.86,4.53,127.84,clay,oilseeds
65,45,151,24.57,88.81,5.01,130.43,sandy,sugarcane
29,64,186,22.1,97.24,7.04,138.87,sandy,millet
105,116,188,10.93,31.01,7.87,247.79,sandy,barley
105,49,90,31.28,34.43,5.19,241.31,loamy,bajra
149,111,78,12.15,72.63,7.74,101.27,clay,rice
21,73,111,38.02,50.43,8.19,109.26,clay,pulses
50,108,81,16.24,28.71,4.65,81.39,sandy,oilseeds
112,116,98,29.11,29.46,8.94,153.38,clay,cotton
138,112,156,20.72,58.39,6.76,179.46,clay,maize
71,117,125,17.53,37.1,8.99,248.53,clay,barley
110,96,88,27.8,99.33,6.52,191.54,loamy,groundnut
61,11,115,25.56,85.69,4.96,293.22,loamy,pulses
129,29,119,22.71,82.18,5.68,27.16,clay,soybean
71,58,48,27.57,27.66,6.06,188.35,sandy,maize
71,51,154,26.01,90.56,5.19,288.75,loamy,bajra
3,51,173,20.85,60.89,7.67,171.58,sandy,soybean
55,8,134,12.71,97.3,8.21,220.32,clay,maize
147,20,163,28.63,29.35,8.5,244.48,loamy,maize
144,79,45,19.7,21.89,4.33,63.71,clay,wheat
34,79,129,13.49,54.92,7.37,112.83,loamy,pulses
128,41,147,39.04,24.66,8.97,295.36,sandy,rice
120,5,16,13.75,62.35,5.1,253.02,loamy,oilseeds
32,106,135,21.1,24.08,6.28,20.1,clay,wheat
135,26,22,20.64,46.49,8.87,74.88,sandy,oilseeds
93,50,45,29.45,58.7,4.61,59.31,loamy,pulses
21,23,127,27.15,36.56,8.27,236.52,sandy,pulses
141,51,116,31.54,50.81,8.58,91.43,loamy,maize
81,86,54,18.8,65.35,6.89,295.43,loamy,soybean
107,101,31,18.66,44.4,8.83,299.66,sandy,soybean
4,5,178,26.38,34.67,7.71,107.51,clay,barley
145,84,115,38.51,24.08,8.77,228.33,sandy,bajra
110,96,128,24.06,28.41,5.42,72.77,clay,barley
46,43,7,11.16,48.22,4.05,193.1,clay,barley
126,80,90,37.53,93.98,4.17,72.6,loamy,cotton
49,49,54,15.49,96.42,8.09,36.07,sandy,millet
107,89,43,33.06,47.87,8.09,226.85,sandy,oilseeds
50,90,188,37.07,96.38,8.87,50.21,clay,bajra
67,87,57,18.36,59.7,4.43,95.72,loamy,wheat
126,24,91,20.02,75.19,5.6,28.42,loamy,maize
137,90,154,13.49,73.25,4.56,102.44,sandy,soybean
144,65,198,29.45,98.04,4.32,122.36,loamy,pulses
6,109,69,35.06,72.58,8.28,260.98,sandy,cotton
112,36,151,17.63,55.25,8.71,146.82,clay,pulses
87,96,73,12.38,50.73,4.59,190.01,sandy,jowar
106,84,85,22.91,57.82,5.33,146.5,loamy,groundnut
106,91,83,23.31,47.2,7.96,225.94,sandy,soybean
37,29,146,25.98,28.01,6.07,199.25,loamy,bajra
62,54,21,27.47,42.08,8.75,143.15,sandy,groundnut
91,18,166,34.46,60.24,6.64,101.59,sandy,pulses
141,57,59,24.7,85.86,6.98,39.79,loamy,bajra
34,74,77,28.64,94.25,5.29,168.22,clay,sugarcane
135,114,56,12.83,20.91,8.68,166.34,sandy,sugarcane
23,50,53,29.77,55.63,7.27,212.61,loamy,sugarcane
7,11,145,10.65,90.9,7.34,238.28,clay,oilseeds
45,39,132,15.06,23.43,8.19,217.9,clay,sugarcane
144,92,21,17.97,99.35,8.61,175.3,loamy,barley
57,90,190,16.23,66.38,8.08,210.14,clay,groundnut
21,31,139,18.49,30.62,8.89,26.6,sandy,bajra
58,52,147,17.09,39.44,4.89,216.97,loamy,millet
25,43,65,35.3,55.32,6.06,280.74,loamy,bajra
142,10,49,27.03,67.17,4.07,39.58,clay,rice
129,9,186,33.72,27,5.75,297.12,sandy,wheat
67,63,141,30.7,89.88,7.61,182.06,sandy,pulses
101,41,173,28.18,69.08,5.08,203.42,loamy,soybean
73,50,73,31.16,51.9,7.44,184.46,loamy,jowar
46,57,47,36.2,90.86,7.04,267.87,sandy,bajra
95,53,23,39,61.57,8.4,192.01,loamy,maize
109,104,32,20.29,62.46,5.03,249.19,sandy,groundnut
62,109,162,28.67,55.19,5.69,259.62,loamy,wheat
117,28,18,34.04,62.29,6.13,254.28,loamy,wheat
112,104,104,24.28,52.93,8.46,62.27,loamy,wheat
72,8,45,25.76,41.07,8.19,252.44,clay,rice
9,116,117,21.73,61.92,6.82,184.59,loamy,barley
99,99,159,15.43,62.65,7.49,143.64,sandy,wheat
116,22,145,11.27,40.11,5.41,175.74,clay,wheat
5,14,148,32.89,89.03,5.41,135.91,sandy,wheat
103,59,129,31.18,66.52,4.27,213.64,clay,soybean
18,25,160,37.85,52.48,5.76,70.11,clay,millet
126,26,182,34.98,65.44,5.22,28.47,clay,groundnut
79,66,50,32.97,59.64,7.32,296.73,clay,soybean
46,119,122,24.35,44.54,4.62,57.7,loamy,barley
47,17,87,10.04,30.93,4.42,124.22,loamy,millet
121,35,197,19.34,63.44,7.05,84.02,sandy,gram
98,73,11,20.17,49.11,4.15,130.79,clay,sugarcane
12,102,93,15.54,92.42,6.58,169.53,loamy,maize
7,95,68,26.29,71.19,8.64,230.71,clay,jowar
143,23,193,34.73,67.92,5.34,296.65,loamy,barley
6,81,167,23.33,23.45,4.46,225.36,clay,soybean
29,53,164,30,29.19,5.75,97.2,clay,gram
93,111,65,10.99,50.12,4.84,97.15,sandy,gram
1,78,19,10.77,40,8.33,223.42,loamy,oilseeds
34,6,149,20.79,43.5,8.19,275.86,clay,gram
77,94,26,22.33,57.68,8.78,224.77,sandy,wheat
20,95,190,30.03,91.86,7.56,140.5,clay,groundnut
1,106,43,33.96,32.49,7.19,251.98,loamy,rice
99,47,134,17.2,64.12,6.72,280.64,loamy,wheat
36,81,47,18.58,87.27,6.07,26.67,loamy,barley
108,24,65,14.12,59,4.26,273.39,sandy,bajra
13,57,146,26.12,68.22,5.76,241.49,loamy,gram
5,54,187,16.59,43.33,5.95,297.4,clay,groundnut
118,16,185,12.33,24.85,6.32,131.08,sandy,gram
130,52,52,23.01,70.83,7.96,246.87,loamy,soybean
42,89,197,33.34,89.67,8.27,141.84,loamy,groundnut
146,110,110,12.24,93.57,7.63,246.09,loamy,bajra
59,93,46,32.94,37.08,6.71,128.6,sandy,barley
121,57,98,19.17,21.5,7.14,161.33,loamy,bajra
66,55,122,32.77,29.03,4.16,105.65,sandy,barley
148,86,174,29.69,45.34,8.14,88.79,clay,wheat
53,20,112,31.58,33.42,6.75,147.54,sandy,oilseeds
31,111,165,21.05,46.62,5.71,171.13,clay,gram
37,38,82,20.56,89.94,7.05,248.92,loamy,oilseeds
104,51,22,28.15,40.2,7.28,245.96,sandy,sugarcane
79,106,24,25.86,86.37,8.41,100.96,clay,jowar
110,111,92,16.11,78.27,8.8,109.29,sandy,millet
147,93,103,30.53,54.9,5.57,154.56,sandy,rice
79,77,60,17.07,77.04,7.28,136.67,clay,groundnut
15,55,41,16.69,75.41,8.99,280.7,loamy,sugarcane
3,94,45,22.37,35.03,8.68,143.34,clay,sugarcane
58,77,81,30.2,87.38,7.15,226.8,clay,soybean
45,114,120,37.7,55.16,4.42,216.22,sandy,soybean
66,31,153,19.91,57.47,5.94,220,clay,barley
55,79,172,24.25,36.6,4.34,249.38,loamy,gram
106,10,173,35.09,59.43,6.24,28.98,sandy,maize
25,37,106,13.93,77.36,7.18,40.35,sandy,millet
